DS_Name, Operacion, TamanoDatos, Tiempo_Ejecucion_ns
SingleLLWithTail,isEmpty,50000,3280
SingleLLWithTail,AddAfter,50000,475305
SingleLLWithTail,AddBefore,50000,488323
SingleLLWithTail,Find,50000,455164
SingleLLWithTail,Erase,50000,478504
SingleLLWithTail,PopFront,50000,3695
SingleLLWithTail,PopBack,50000,427685
DoublyLLNoTail,PushFront,50000,69
DoublyLLNoTail,PushBack,50000,320408
DoublyLLNoTail,isEmpty,50000,258
DoublyLLNoTail,AddAfter,50000,470763
DoublyLLNoTail,AddBefore,50000,111739
DoublyLLNoTail,Find,50000,111523
DoublyLLNoTail,Erase,50000,129801
DoublyLLNoTail,PopFront,50000,1043
DoublyLLNoTail,PopBack,50000,474231
DoublyLLWithTail,PushFront,50000,184
DoublyLLWithTail,PushBack,50000,3045
DoublyLLWithTail,isEmpty,50000,182
DoublyLLWithTail,AddAfter,50000,492281
DoublyLLWithTail,AddBefore,50000,148245
DoublyLLWithTail,Find,50000,99419
DoublyLLWithTail,Erase,50000,88549
DoublyLLWithTail,PopFront,50000,961
DoublyLLWithTail,PopBack,50000,261
Queue,Enqueue,50000,861
Queue,Dequeue,50000,1561
Queue,Delete,50000,650393
Queue,Front,50000,463
Queue,Size,50000,744
Queue,isEmpty,50000,455
Stack,Push,50000,347
Stack,Pop,50000,1096
Stack,Delete,50000,469230
Stack,Peek,50000,384
Stack,Size,50000,396
Stack,isEmpty,50000,344
SingleLLNoTail,PushFront,75000,4369
SingleLLNoTail,PushBack,75000,254349
SingleLLNoTail,isEmpty,75000,3192
SingleLLNoTail,AddAfter,75000,232651
SingleLLNoTail,AddBefore,75000,221222
SingleLLNoTail,Find,75000,207952
SingleLLNoTail,Erase,75000,179622
SingleLLNoTail,PopFront,75000,3086
SingleLLNoTail,PopBack,75000,238831
SingleLLWithTail,PushFront,75000,482
SingleLLWithTail,PushBack,75000,1373
SingleLLWithTail,isEmpty,75000,622
SingleLLWithTail,AddAfter,75000,183457
SingleLLWithTail,AddBefore,75000,171258
SingleLLWithTail,Find,75000,160219
SingleLLWithTail,Erase,75000,162593
SingleLLWithTail,PopFront,75000,990
SingleLLWithTail,PopBack,75000,248796
DoublyLLNoTail,PushFront,75000,621
DoublyLLNoTail,PushBack,75000,394393
DoublyLLNoTail,isEmpty,75000,1132
DoublyLLNoTail,AddAfter,75000,194456
DoublyLLNoTail,AddBefore,75000,194494
DoublyLLNoTail,Find,75000,173814
DoublyLLNoTail,Erase,75000,170373
DoublyLLNoTail,PopFront,75000,1695
DoublyLLNoTail,PopBack,75000,320540
DoublyLLWithTail,PushFront,75000,900
DoublyLLWithTail,PushBack,75000,2731
DoublyLLWithTail,isEmpty,75000,1925
DoublyLLWithTail,AddAfter,75000,256474
DoublyLLWithTail,AddBefore,75000,212553
DoublyLLWithTail,Find,75000,167146
DoublyLLWithTail,Erase,75000,152394
DoublyLLWithTail,PopFront,75000,1831
DoublyLLWithTail,PopBack,75000,692
Queue,Enqueue,75000,9361
Queue,Dequeue,75000,11159
Queue,Delete,75000,425072
Queue,Front,75000,119
Queue,Size,75000,121
Queue,isEmpty,75000,142
Stack,Push,75000,4913
Stack,Pop,75000,5805
Stack,Delete,75000,160246
Stack,Peek,75000,70
Stack,Size,75000,53
Stack,isEmpty,75000,90
SingleLLNoTail,PushFront,100000,690
SingleLLNoTail,PushBack,100000,405149
SingleLLNoTail,isEmpty,100000,855
SingleLLNoTail,AddAfter,100000,201566
SingleLLNoTail,AddBefore,100000,174712
SingleLLNoTail,Find,100000,155124
SingleLLNoTail,Erase,100000,137942
SingleLLNoTail,PopFront,100000,1134
SingleLLNoTail,PopBack,100000,297335
SingleLLWithTail,PushFront,100000,8228
SingleLLWithTail,PushBack,100000,11180
SingleLLWithTail,isEmpty,100000,2946
SingleLLWithTail,AddAfter,100000,156612
SingleLLWithTail,AddBefore,100000,205881
SingleLLWithTail,Find,100000,142413
SingleLLWithTail,Erase,100000,105350
SingleLLWithTail,PopFront,100000,2996
SingleLLWithTail,PopBack,100000,319431
DoublyLLNoTail,PushFront,100000,1090
DoublyLLNoTail,PushBack,100000,477321
DoublyLLNoTail,isEmpty,100000,1045
DoublyLLNoTail,AddAfter,100000,145743
DoublyLLNoTail,AddBefore,100000,137848
DoublyLLNoTail,Find,100000,113313
DoublyLLNoTail,Erase,100000,113089
DoublyLLNoTail,PopFront,100000,1064
DoublyLLNoTail,PopBack,100000,320612
DoublyLLWithTail,PushFront,100000,2450
DoublyLLWithTail,PushBack,100000,6722
DoublyLLWithTail,isEmpty,100000,1253
DoublyLLWithTail,AddAfter,100000,178119
DoublyLLWithTail,AddBefore,100000,163364
DoublyLLWithTail,Find,100000,168603
DoublyLLWithTail,Erase,100000,163553
DoublyLLWithTail,PopFront,100000,1276
DoublyLLWithTail,PopBack,100000,367
Queue,Enqueue,100000,5174
Queue,Dequeue,100000,6070
Queue,Delete,100000,191476
Queue,Front,100000,194
Queue,Size,100000,101
Queue,isEmpty,100000,195
Stack,Push,100000,4280
Stack,Pop,100000,5701
Stack,Delete,100000,210264
Stack,Peek,100000,114
Stack,Size,100000,74
Stack,isEmpty,100000,89
SingleLLNoTail,PushFront,500000,2116
SingleLLNoTail,PushBack,500000,2172085
SingleLLNoTail,isEmpty,500000,2736
SingleLLNoTail,AddAfter,500000,1001096
SingleLLNoTail,AddBefore,500000,1072165
SingleLLNoTail,Find,500000,1167679
SingleLLNoTail,Erase,500000,972839
SingleLLNoTail,PopFront,500000,4090
SingleLLNoTail,PopBack,500000,2001062
SingleLLWithTail,PushFront,500000,3043
SingleLLWithTail,PushBack,500000,6275
SingleLLWithTail,isEmpty,500000,2013
SingleLLWithTail,AddAfter,500000,1326311
SingleLLWithTail,AddBefore,500000,1294597
SingleLLWithTail,Find,500000,1245602
SingleLLWithTail,Erase,500000,1271599
SingleLLWithTail,PopFront,500000,4192
SingleLLWithTail,PopBack,500000,2662123
DoublyLLNoTail,PushFront,500000,3402
DoublyLLNoTail,PushBack,500000,2911112
DoublyLLNoTail,isEmpty,500000,4360
DoublyLLNoTail,AddAfter,500000,2204114
DoublyLLNoTail,AddBefore,500000,2160712
DoublyLLNoTail,Find,500000,2250094
DoublyLLNoTail,Erase,500000,1485826
DoublyLLNoTail,PopFront,500000,3273
DoublyLLNoTail,PopBack,500000,2246335
DoublyLLWithTail,PushFront,500000,2166
DoublyLLWithTail,PushBack,500000,3435
DoublyLLWithTail,isEmpty,500000,1342
DoublyLLWithTail,AddAfter,500000,1038055
DoublyLLWithTail,AddBefore,500000,960807
DoublyLLWithTail,Find,500000,947055
